Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"This article will attempt to analyze the current impact of Artificial Intelligence in Spanish healthcare, as well as the challenges that its application poses both from an ethical and legal point of view. Technological advances, which are already being applied in healthcare, make it necessary to adapt the legal system to the new trends that are emerging in society and force healthcare professionals to review their codes of ethics in the face of new ethical dilemmas, since these codes of ethics do not have clear guidelines for action on AI that raise relevant ethical problems to which no response is being given, except for the code of ethics for medicine, which has recently been included. After a review of the last 5 years of Spanish and European regulations in medicine, it can be concluded that the regulation and legislation of the application of AI is very deficient, both in the EU and in Spain. In order to try to identify different ways of resolving conflicts related to AI in medicine, jurisprudential sentences related to the rights and obligations of health professionals, patients and users have been analyzed and reviewed. Therefore, the paper concludes with the proposal of a series of aspects to be taken into account for the future regulation of the application of AI in medicine. © 2024, The Author(s).",3,10.1057/s41599-023-02565-2,"This article analyzes the impact of AI in Spanish healthcare, focusing on ethical and legal challenges. It reviews recent regulations and proposes improvements for future AI applications in medicine. The emphasis on the implications of AI in healthcare qualifies it for classification A. Class: A",A,1699,50,stop,fp_0ba0d124f1
"The traditional break–fix model of healthcare, characterised by reactive interventions after the onset of diseases, is undergoing a significant transformation globally, including in Australia. This is occurring at the same time that revolutionary technologies such as artificial intelligence and precision prevention of disease are emerging. This article explores the imperative to transition from our current break–fix model of health care towards a predict–prevent model, emphasising proactive healthcare strategies underpinned by technology. © 2024 The Authors. The Australian Economic Review published by John Wiley & Sons Australia, Ltd on behalf of The University of Melbourne, Melbourne Institute: Applied Economic & Social Research, Faculty of Business and Economics.",3,10.1111/1467-8462.12555,"This article discusses the shift from a reactive healthcare model to a proactive, technology-driven approach, emphasizing the role of AI and precision prevention. It highlights the need for a transition in healthcare strategies rather than analyzing the impact of AI itself. Class: A",A,1583,49,stop,fp_0ba0d124f1
"Artificial Intelligence has the potential to improve human decisions in complex environments, but its effectiveness can remain limited if humans hold context-specific private information. Using the empirical example of antibiotic prescribing for urinary tract infections, we show that full automation of prescribing fails to improve on physician decisions. Instead, optimally delegating a share of decisions to physicians, where they possess private diagnostic information, effectively utilizes the complementarity between algorithmic and human decisions. Combining physician and algorithmic decisions can achieve a reduction in inefficient overprescribing of antibiotics by 20.3 percent. © The Author(s) 2024.",3,10.1007/s11129-024-09284-1,"This paper investigates the interaction between AI and human decision-making in the context of antibiotic prescribing. It analyzes the effectiveness of combining algorithmic and physician decisions to improve outcomes, demonstrating the impact of AI on healthcare practices. Class: A",A,1571,45,stop,fp_0ba0d124f1
"In Healthcare Procurement, This Study Delves into the Integration of Generative AI, Focusing on Its Application within HealthTrust Europe's marketing and communication frameworks. By analyzing the interplay between innovative AI-driven content personalization and the associated ethical, security, and operational risks, the research offers a nuanced perspective on leveraging technology for enhanced efficiency and engagement. The study employs qualitative research methods to assess risks and propose mitigation strategies, advocating for best practices in AI governance and risk management. It emphasizes the importance of maintaining network security, data integrity, and ethical standards in deploying AI solutions. Copyright © 2024 by SCITEPRESS - Science and Technology Publications, Lda.",3,10.5220/0012729800003717,"This study explores the integration of generative AI in healthcare procurement, specifically within HealthTrust Europe's marketing and communication strategies. It focuses on the ethical, security, and operational risks associated with AI applications, employing qualitative research methods to assess these risks and propose governance strategies. The emphasis on the implications of AI in healthcare aligns it with the impact of AI itself. Class: A",A,1582,73,stop,fp_0ba0d124f1
"The study explores how artificial intelligence technologies can be used to address health crises. These technologies can be used to track and record any crisis before or at the moment of its occurrence, enabling rapid intervention and success in overcoming the crisis as soon as it is reached through rapid alerts for intervention by these applications. The study focuses on tracking these applications during the stages of managing the COVID-19 crisis, in terms of 'the mechanism of operation of these technologies, their areas, and the challenges of their use', based on the application of several European and Arab countries of such technologies during the four stages of managing the crisis; in an attempt to explore the global effort during the COVID-19 crisis in the age of artificial intelligence. The current study aimed to clarify the role of artificial intelligence technology and its impact on crisis management, an analytical study. The study recommended the need to enhance the role of artificial intelligence technology, given the contribution of this technology to achieving high levels of environmental quality and thus reaching the management and facing crises.  © 2024 IEEE.",3,10.1109/ICETSIS61505.2024.10459372,"This study analyzes the role of AI technologies in managing health crises, specifically during the COVID-19 pandemic. It examines the mechanisms, applications, and challenges of AI in crisis management, highlighting its impact on intervention strategies. The focus on AI's effectiveness in addressing health crises qualifies it for classification A. Class: A",A,1661,62,stop,fp_0ba0d124f1
"The purpose of this study is to examine difficulties in India's healthcare industry and determine the practicality of using AI as a solution. The integration of Artificial Intelligence (AI) technologies, which include machine learning and robots, has transformed several sectors, most notably healthcare. These technologies are altering the delivery of medical services and diagnostics by processing large information, recognizing detailed patterns, and engaging in sophisticated human interactions. The combination of artificial intelligence with healthcare has drastically revolutionized service delivery, addressing issues such as individualized therapy and exact diagnosis. Its potential influence extends beyond care, clinical processes, and healthcare management, resulting in a transformational landscape. AI has the potential to improve healthcare, emergency response systems, and disaster management in India. However, due to different populations, language variances, limited resources, and economic limits, its implementation faces distinct obstacles. Utilizing AI opens up possibilities for early illness diagnosis, improved diagnostics, telemedicine breakthroughs, disease prediction, and effective health record administration. However, successful implementation necessitates resolving technological challenges as well as issues for good governance. The approach of this review article entails describing and critically analyzing existing research on AI technologies, with a special emphasis on their possible applications in India's healthcare scene. The goal is to identify how artificial intelligence (AI) might potentially reduce current issues in the Indian healthcare sector.  © 2024 IEEE.",3,10.1109/ICETSIS61505.2024.10459377,"This study reviews the challenges in India's healthcare sector and explores the potential applications of AI as a solution. It critically analyzes existing research on AI technologies and their transformative impact on healthcare delivery, diagnostics, and management. The focus on AI's implications and challenges in healthcare qualifies it for classification A. Class: A",A,1718,60,stop,fp_0ba0d124f1
"Purpose: The purpose of this paper is to illuminate the ethical concerns associated with the use of artificial intelligence (AI) in the medical sector and to provide solutions that allow deriving maximum benefits from this technology without compromising ethical principles. Design/methodology/approach: This paper provides a comprehensive overview of AI in medicine, exploring its technical capabilities, practical applications, and ethical implications. Based on our expertise, we offer insights from both technical and practical perspectives. Findings: The study identifies several advantages of AI in medicine, including its ability to improve diagnostic accuracy, enhance surgical outcomes, and optimize healthcare delivery. However, there are pending ethical issues such as algorithmic bias, lack of transparency, data privacy issues, and the potential for AI to deskill healthcare professionals and erode humanistic values in patient care. Therefore, it is important to address these issues as promptly as possible to make sure that we benefit from the AI’s implementation without causing any serious drawbacks. Originality/value: This paper gains its value from the combined practical experience of Professor Elhassan gained through his practice at top hospitals worldwide, and the theoretical expertise of Dr. Arabi acquired from international institutes. The shared experiences of the authors provide valuable insights that are beneficial for raising awareness and guiding action in addressing the ethical concerns associated with the integration of artificial intelligence in medicine. © 2024, Bassem T. ElHassan and Alya A. Arabi.",3,10.1108/IJOES-08-2023-0190,"This paper focuses on the ethical concerns surrounding the use of AI in the medical sector, discussing its benefits and potential drawbacks. It aims to provide solutions for maximizing AI's advantages while maintaining ethical standards. The emphasis on ethical implications and guidelines qualifies it for classification A. Class: A",A,1738,55,stop,fp_0ba0d124f1
"Technological innovations at the time of the pandemic and post pandemic is the focus of this paper which examines the relationship between intellectual property (IP), artificial intelligence (AI) and the healthcare sector. Research in this area includes the rapidly growing artificial intelligence industries in the healthcare sector and the impact of intellectual property protection on emerging technologies. Taking an interdisciplinary and diverse perspective, this paper enriches the evolving scope of ethical discourse literature by focusing on intellectual property assets that use AI and regulation that shape the healthcare sector. Considering the gap between law and development theory and practice, this paper bridges academic knowledge in unpacking ethical and governance issues in the intellectual property industry, healthcare law and emerging technologies. Unpacking these issues is important in the law and development context as ethical issues that arise from emerging technologies using AI systems and the responses from policymakers in governing their developments create long-term implications to individuals and populations. Governance responses often vary according to the local contexts, and are dependent on the unique socio-cultural structures, institutional organisations and legal frameworks. © 2024 Walter de Gruyter GmbH. All rights reserved.",3,10.1515/ldr-2024-0009,"This paper explores the intersection of AI, intellectual property, and healthcare, focusing on the ethical and governance issues arising from AI technologies. It emphasizes the implications of IP protection on AI innovations in healthcare and the regulatory challenges involved. The study contributes to the ethical discourse surrounding AI's role in healthcare. Class: A",A,1670,61,stop,fp_0ba0d124f1
"Adverse selection harms market efficiency and access to essential services, particularly for disadvantaged groups. Risk equalization policies attempt to mitigate this by compensating agents for risk disparities, but often fall short of addressing interactions between risk factors. Using health insurance data from the Netherlands, we present a machine learning approach to capture unanticipated interactions that impact medical expenditure risk. We compare our novel approach to a state-of-the-art statistical model. We find that our approach explains an additional 1.5% of medical expenditure, equivalent to 571 million euros over all individuals in the Dutch market. In particular, this translates into better compensation for low- and high-cost groups that are especially vulnerable to adverse selection. These findings confirm the significance of risk factor interactions in explaining medical expenditure risk, and support the adoption of machine learning alongside statistical models to further mitigate selection incentives in risk equalization policies. © 2023 The Authors",3,10.1016/j.econmod.2023.106564,"This paper employs a machine learning approach to analyze interactions between risk factors affecting medical expenditure in health insurance. It compares this method to traditional statistical models, demonstrating improved understanding and compensation for vulnerable groups. The focus is on using AI methods to enhance policy outcomes rather than measuring AI's impact itself. Class: B",B,1632,60,stop,fp_0ba0d124f1
"Objectives: Ataluren and eteplirsen are orphan drugs that delay progression of Duchenne muscular dystrophy in mutation-specific subgroups. They have yet to be approved in Egypt but are expected to reach the market soon. This study describes 2 cost-utility models comparing the drugs with the standard of care. Methods: We used a partition-survival model with 5 states based on the ambulatory status to model a cohort of ambulatory patients at the age of 5 years. Baseline curves were obtained from a published model; then the ambulation loss curve was updated using the Kaplan-Meier curve of the standard of care from a study by McDonald et al. Other curves were updated by calibration to this curve. Costs and utilities were from a local study. Deterministic and probabilistic sensitivity analyses were conducted. Prices were estimated based on other orphan drugs’ prices. Results: In the base case, ataluren 1000 mg and eteplirsen 50 mg/mL resulted in an incremental cost-effectiveness ratio of EGP 51 745 605 and EGP 69 652 533/quality-adjusted life-year, respectively, at their hypothetical prices of EGP 308 600 for ataluren 30-sachet pack and EGP 62 800 for eteplirsen 10 mL vial. The incremental cost-effectiveness ratio was sensitive to health state utilities but not to state costs. At EGP 911 719/quality-adjusted life-year threshold, the value-based prices were EGP 4680 for ataluren 1000 mg and EGP 733 for eteplirsen 10 mL vial. Conclusions: Based on these models, there is a huge gap between the prices of orphan drugs and their value-based prices, which highlights the need for major policy reforms in the assessment and pricing of orphan drugs. © 2023 International Society for Health Economics and Outcomes Research",3,10.1016/j.vhri.2023.08.004,This study develops cost-utility models to compare the economic impact of two orphan drugs for Duchenne muscular dystrophy against standard care. It employs a partition-survival model and conducts sensitivity analyses to assess cost-effectiveness. The focus is on the economic implications of drug pricing rather than on AI itself. Class: B,B,1844,62,stop,fp_0ba0d124f1
